dealer,color,month,month_name,si
DEALER 1,Grey3,1,Ocak,0.4737
DEALER 1,Grey3,2,Şubat,0.4737
DEALER 1,Grey3,3,Mart,1.2632
DEALER 1,Grey3,4,Nisan,0.9474
DEALER 1,Grey3,5,Mayıs,0.7895
DEALER 1,Grey3,6,Haziran,1.1053
DEALER 1,Grey3,7,Temmuz,0.3158
DEALER 1,Grey3,8,Ağustos,0.9474
DEALER 1,Grey3,9,Eylül,1.1053
DEALER 1,Grey3,10,Ekim,0.9474
DEALER 1,Grey3,11,Kasım,1.4211
DEALER 1,Grey3,12,Aralık,2.2105
DEALER 1,Black2,1,Ocak,0.5926
DEALER 1,Black2,2,Şubat,0.7407
DEALER 1,Black2,3,Mart,0.5926
DEALER 1,Black2,4,Nisan,0.5926
DEALER 1,Black2,5,Mayıs,0.5926
DEALER 1,Black2,6,Haziran,0.8889
DEALER 1,Black2,7,Temmuz,1.037
DEALER 1,Black2,8,Ağustos,1.4815
DEALER 1,Black2,9,Eylül,1.4815
DEALER 1,Black2,10,Ekim,1.3333
DEALER 1,Black2,11,Kasım,0.8889
DEALER 1,Black2,12,Aralık,1.7778
DEALER 1,Grey2,1,Ocak,2.4
DEALER 1,Grey2,2,Şubat,1.35
DEALER 1,Grey2,3,Mart,1.35
DEALER 1,Grey2,4,Nisan,0.6
DEALER 1,Grey2,5,Mayıs,0.75
DEALER 1,Grey2,6,Haziran,0.45
DEALER 1,Grey2,7,Temmuz,1.5
DEALER 1,Grey2,8,Ağustos,1.35
DEALER 1,Grey2,9,Eylül,0.75
DEALER 1,Grey2,10,Ekim,0.45
DEALER 1,Grey2,11,Kasım,0.45
DEALER 1,Grey2,12,Aralık,0.6
DEALER 1,Beige,1,Ocak,0.9474
DEALER 1,Beige,2,Şubat,0.6316
DEALER 1,Beige,3,Mart,0.3158
DEALER 1,Beige,4,Nisan,0.6316
DEALER 1,Beige,5,Mayıs,0.6316
DEALER 1,Beige,6,Haziran,0.6316
DEALER 1,Beige,7,Temmuz,0.9474
DEALER 1,Beige,8,Ağustos,0.9474
DEALER 1,Beige,9,Eylül,1.5789
DEALER 1,Beige,10,Ekim,0.7895
DEALER 1,Beige,11,Kasım,1.5789
DEALER 1,Beige,12,Aralık,2.3684
DEALER 1,Black1,1,Ocak,1.4483
DEALER 1,Black1,2,Şubat,0.8276
DEALER 1,Black1,3,Mart,1.4483
DEALER 1,Black1,4,Nisan,0.6207
DEALER 1,Black1,5,Mayıs,1.2414
DEALER 1,Black1,6,Haziran,0.8276
DEALER 1,Black1,7,Temmuz,1.6552
DEALER 1,Black1,8,Ağustos,1.4483
DEALER 1,Black1,9,Eylül,0.6207
DEALER 1,Black1,10,Ekim,0.6207
DEALER 1,Black1,11,Kasım,0.8276
DEALER 1,Black1,12,Aralık,0.4138
DEALER 10,Beige,1,Ocak,0.75
DEALER 10,Beige,2,Şubat,0.0
DEALER 10,Beige,3,Mart,2.25
DEALER 10,Beige,4,Nisan,1.125
DEALER 10,Beige,5,Mayıs,0.0
DEALER 10,Beige,6,Haziran,0.75
DEALER 10,Beige,7,Temmuz,1.5
DEALER 10,Beige,8,Ağustos,0.75
DEALER 10,Beige,9,Eylül,0.75
DEALER 10,Beige,10,Ekim,0.0
DEALER 10,Beige,11,Kasım,1.5
DEALER 10,Beige,12,Aralık,2.625
DEALER 10,Grey3,1,Ocak,2.087
DEALER 10,Grey3,2,Şubat,1.5652
DEALER 10,Grey3,3,Mart,2.087
DEALER 10,Grey3,4,Nisan,0.0
DEALER 10,Grey3,5,Mayıs,1.0435
DEALER 10,Grey3,6,Haziran,1.0435
DEALER 10,Grey3,7,Temmuz,0.0
DEALER 10,Grey3,8,Ağustos,0.0
DEALER 10,Grey3,9,Eylül,0.0
DEALER 10,Grey3,10,Ekim,0.0
DEALER 10,Grey3,11,Kasım,1.5652
DEALER 10,Grey3,12,Aralık,2.6087
DEALER 10,Black1,1,Ocak,2.3226
DEALER 10,Black1,2,Şubat,0.7742
DEALER 10,Black1,3,Mart,1.1613
DEALER 10,Black1,4,Nisan,0.7742
DEALER 10,Black1,5,Mayıs,1.5484
DEALER 10,Black1,6,Haziran,2.3226
DEALER 10,Black1,7,Temmuz,0.0
DEALER 10,Black1,8,Ağustos,0.7742
DEALER 10,Black1,9,Eylül,0.7742
DEALER 10,Black1,10,Ekim,0.7742
DEALER 10,Black1,11,Kasım,0.7742
DEALER 10,Black1,12,Aralık,0.0
DEALER 10,White2,1,Ocak,0.75
DEALER 10,White2,2,Şubat,0.0
DEALER 10,White2,3,Mart,0.75
DEALER 10,White2,4,Nisan,0.75
DEALER 10,White2,5,Mayıs,1.5
DEALER 10,White2,6,Haziran,0.75
DEALER 10,White2,7,Temmuz,1.5
DEALER 10,White2,8,Ağustos,2.25
DEALER 10,White2,9,Eylül,0.75
DEALER 10,White2,10,Ekim,0.75
DEALER 10,White2,11,Kasım,0.75
DEALER 10,White2,12,Aralık,1.5
DEALER 10,Blue,1,Ocak,1.5652
DEALER 10,Blue,2,Şubat,1.0435
DEALER 10,Blue,3,Mart,1.0435
DEALER 10,Blue,4,Nisan,1.0435
DEALER 10,Blue,5,Mayıs,1.0435
DEALER 10,Blue,6,Haziran,1.0435
DEALER 10,Blue,7,Temmuz,0.0
DEALER 10,Blue,8,Ağustos,0.0
DEALER 10,Blue,9,Eylül,1.0435
DEALER 10,Blue,10,Ekim,1.5652
DEALER 10,Blue,11,Kasım,0.0
DEALER 10,Blue,12,Aralık,2.6087
DEALER 11,Grey3,1,Ocak,3.3333
DEALER 11,Grey3,2,Şubat,2.0
DEALER 11,Grey3,3,Mart,1.3333
DEALER 11,Grey3,4,Nisan,1.3333
DEALER 11,Grey3,5,Mayıs,1.3333
DEALER 11,Grey3,6,Haziran,1.3333
DEALER 11,Grey3,7,Temmuz,0.0
DEALER 11,Grey3,8,Ağustos,0.0
DEALER 11,Grey3,9,Eylül,0.0
DEALER 11,Grey3,10,Ekim,0.0
DEALER 11,Grey3,11,Kasım,0.0
DEALER 11,Grey3,12,Aralık,1.3333
DEALER 11,White2,1,Ocak,0.0
DEALER 11,White2,2,Şubat,0.0
DEALER 11,White2,3,Mart,0.0
DEALER 11,White2,4,Nisan,1.7143
DEALER 11,White2,5,Mayıs,0.0
DEALER 11,White2,6,Haziran,1.7143
DEALER 11,White2,7,Temmuz,1.7143
DEALER 11,White2,8,Ağustos,2.5714
DEALER 11,White2,9,Eylül,0.0
DEALER 11,White2,10,Ekim,1.7143
DEALER 11,White2,11,Kasım,0.0
DEALER 11,White2,12,Aralık,2.5714
DEALER 11,Grey1,1,Ocak,0.0
DEALER 11,Grey1,2,Şubat,0.0
DEALER 11,Grey1,3,Mart,0.0
DEALER 11,Grey1,4,Nisan,0.0
DEALER 11,Grey1,5,Mayıs,0.0
DEALER 11,Grey1,6,Haziran,2.4
DEALER 11,Grey1,7,Temmuz,2.4
DEALER 11,Grey1,8,Ağustos,0.0
DEALER 11,Grey1,9,Eylül,1.2
DEALER 11,Grey1,10,Ekim,0.0
DEALER 11,Grey1,11,Kasım,0.0
DEALER 11,Grey1,12,Aralık,6.0
DEALER 11,Beige,1,Ocak,0.0
DEALER 11,Beige,2,Şubat,1.3333
DEALER 11,Beige,3,Mart,0.0
DEALER 11,Beige,4,Nisan,1.3333
DEALER 11,Beige,5,Mayıs,0.0
DEALER 11,Beige,6,Haziran,1.3333
DEALER 11,Beige,7,Temmuz,1.3333
DEALER 11,Beige,8,Ağustos,1.3333
DEALER 11,Beige,9,Eylül,0.0
DEALER 11,Beige,10,Ekim,0.0
DEALER 11,Beige,11,Kasım,0.0
DEALER 11,Beige,12,Aralık,5.3333
DEALER 11,Black1,1,Ocak,1.3333
DEALER 11,Black1,2,Şubat,2.6667
DEALER 11,Black1,3,Mart,1.3333
DEALER 11,Black1,4,Nisan,1.3333
DEALER 11,Black1,5,Mayıs,4.0
DEALER 11,Black1,6,Haziran,0.0
DEALER 11,Black1,7,Temmuz,0.0
DEALER 11,Black1,8,Ağustos,0.0
DEALER 11,Black1,9,Eylül,1.3333
DEALER 11,Black1,10,Ekim,0.0
DEALER 11,Black1,11,Kasım,0.0
DEALER 11,Black1,12,Aralık,0.0
DEALER 12,Grey3,1,Ocak,0.6486
DEALER 12,Grey3,2,Şubat,0.973
DEALER 12,Grey3,3,Mart,0.973
DEALER 12,Grey3,4,Nisan,0.6486
DEALER 12,Grey3,5,Mayıs,0.6486
DEALER 12,Grey3,6,Haziran,0.6486
DEALER 12,Grey3,7,Temmuz,1.6216
DEALER 12,Grey3,8,Ağustos,1.2973
DEALER 12,Grey3,9,Eylül,0.0
DEALER 12,Grey3,10,Ekim,0.6486
DEALER 12,Grey3,11,Kasım,0.6486
DEALER 12,Grey3,12,Aralık,3.2432
DEALER 12,Beige,1,Ocak,0.0
DEALER 12,Beige,2,Şubat,0.7273
DEALER 12,Beige,3,Mart,0.7273
DEALER 12,Beige,4,Nisan,0.7273
DEALER 12,Beige,5,Mayıs,2.1818
DEALER 12,Beige,6,Haziran,1.4545
DEALER 12,Beige,7,Temmuz,0.7273
DEALER 12,Beige,8,Ağustos,0.7273
DEALER 12,Beige,9,Eylül,0.7273
DEALER 12,Beige,10,Ekim,1.0909
DEALER 12,Beige,11,Kasım,1.0909
DEALER 12,Beige,12,Aralık,1.8182
DEALER 12,Black2,1,Ocak,0.8276
DEALER 12,Black2,2,Şubat,0.8276
DEALER 12,Black2,3,Mart,0.0
DEALER 12,Black2,4,Nisan,0.8276
DEALER 12,Black2,5,Mayıs,0.8276
DEALER 12,Black2,6,Haziran,0.8276
DEALER 12,Black2,7,Temmuz,2.069
DEALER 12,Black2,8,Ağustos,0.8276
DEALER 12,Black2,9,Eylül,1.6552
DEALER 12,Black2,10,Ekim,0.8276
DEALER 12,Black2,11,Kasım,0.0
DEALER 12,Black2,12,Aralık,2.4828
DEALER 12,Black1,1,Ocak,2.4
DEALER 12,Black1,2,Şubat,0.0
DEALER 12,Black1,3,Mart,1.92
DEALER 12,Black1,4,Nisan,0.96
DEALER 12,Black1,5,Mayıs,0.0
DEALER 12,Black1,6,Haziran,1.92
DEALER 12,Black1,7,Temmuz,0.96
DEALER 12,Black1,8,Ağustos,0.96
DEALER 12,Black1,9,Eylül,0.96
DEALER 12,Black1,10,Ekim,0.96
DEALER 12,Black1,11,Kasım,0.96
DEALER 12,Black1,12,Aralık,0.0
DEALER 12,White2,1,Ocak,1.4118
DEALER 12,White2,2,Şubat,0.7059
DEALER 12,White2,3,Mart,1.4118
DEALER 12,White2,4,Nisan,1.4118
DEALER 12,White2,5,Mayıs,0.7059
DEALER 12,White2,6,Haziran,0.7059
DEALER 12,White2,7,Temmuz,0.7059
DEALER 12,White2,8,Ağustos,1.4118
DEALER 12,White2,9,Eylül,1.4118
DEALER 12,White2,10,Ekim,0.0
DEALER 12,White2,11,Kasım,0.7059
DEALER 12,White2,12,Aralık,1.4118
DEALER 13,Grey2,1,Ocak,2.4
DEALER 13,Grey2,2,Şubat,1.0
DEALER 13,Grey2,3,Mart,1.0
DEALER 13,Grey2,4,Nisan,1.0
DEALER 13,Grey2,5,Mayıs,0.8
DEALER 13,Grey2,6,Haziran,1.0
DEALER 13,Grey2,7,Temmuz,1.2
DEALER 13,Grey2,8,Ağustos,0.8
DEALER 13,Grey2,9,Eylül,0.4
DEALER 13,Grey2,10,Ekim,0.4
DEALER 13,Grey2,11,Kasım,1.4
DEALER 13,Grey2,12,Aralık,0.6
DEALER 13,Black2,1,Ocak,0.9057
DEALER 13,Black2,2,Şubat,0.9057
DEALER 13,Black2,3,Mart,0.0
DEALER 13,Black2,4,Nisan,0.4528
DEALER 13,Black2,5,Mayıs,0.4528
DEALER 13,Black2,6,Haziran,0.9057
DEALER 13,Black2,7,Temmuz,0.4528
DEALER 13,Black2,8,Ağustos,0.6792
DEALER 13,Black2,9,Eylül,2.4906
DEALER 13,Black2,10,Ekim,1.1321
DEALER 13,Black2,11,Kasım,1.3585
DEALER 13,Black2,12,Aralık,2.2642
DEALER 13,Beige,1,Ocak,0.3871
DEALER 13,Beige,2,Şubat,0.7742
DEALER 13,Beige,3,Mart,0.0
DEALER 13,Beige,4,Nisan,1.1613
DEALER 13,Beige,5,Mayıs,1.1613
DEALER 13,Beige,6,Haziran,1.5484
DEALER 13,Beige,7,Temmuz,0.9677
DEALER 13,Beige,8,Ağustos,1.1613
DEALER 13,Beige,9,Eylül,1.1613
DEALER 13,Beige,10,Ekim,1.3548
DEALER 13,Beige,11,Kasım,0.7742
DEALER 13,Beige,12,Aralık,1.5484
DEALER 13,Black1,1,Ocak,2.1429
DEALER 13,Black1,2,Şubat,2.3571
DEALER 13,Black1,3,Mart,1.7143
DEALER 13,Black1,4,Nisan,0.8571
DEALER 13,Black1,5,Mayıs,0.4286
DEALER 13,Black1,6,Haziran,0.4286
DEALER 13,Black1,7,Temmuz,1.0714
DEALER 13,Black1,8,Ağustos,0.4286
DEALER 13,Black1,9,Eylül,0.8571
DEALER 13,Black1,10,Ekim,0.4286
DEALER 13,Black1,11,Kasım,0.4286
DEALER 13,Black1,12,Aralık,0.8571
DEALER 13,Grey3,1,Ocak,0.8889
DEALER 13,Grey3,2,Şubat,1.1111
DEALER 13,Grey3,3,Mart,0.6667
DEALER 13,Grey3,4,Nisan,0.4444
DEALER 13,Grey3,5,Mayıs,1.3333
DEALER 13,Grey3,6,Haziran,0.8889
DEALER 13,Grey3,7,Temmuz,1.5556
DEALER 13,Grey3,8,Ağustos,0.4444
DEALER 13,Grey3,9,Eylül,1.3333
DEALER 13,Grey3,10,Ekim,0.8889
DEALER 13,Grey3,11,Kasım,0.8889
DEALER 13,Grey3,12,Aralık,1.5556
DEALER 14,Grey3,1,Ocak,1.3333
DEALER 14,Grey3,2,Şubat,0.381
DEALER 14,Grey3,3,Mart,0.5714
DEALER 14,Grey3,4,Nisan,0.381
DEALER 14,Grey3,5,Mayıs,1.5238
DEALER 14,Grey3,6,Haziran,0.5714
DEALER 14,Grey3,7,Temmuz,0.7619
DEALER 14,Grey3,8,Ağustos,0.5714
DEALER 14,Grey3,9,Eylül,3.0476
DEALER 14,Grey3,10,Ekim,0.9524
DEALER 14,Grey3,11,Kasım,0.7619
DEALER 14,Grey3,12,Aralık,1.1429
DEALER 14,Black2,1,Ocak,0.9057
DEALER 14,Black2,2,Şubat,0.0
DEALER 14,Black2,3,Mart,0.0
DEALER 14,Black2,4,Nisan,0.0
DEALER 14,Black2,5,Mayıs,1.3585
DEALER 14,Black2,6,Haziran,0.9057
DEALER 14,Black2,7,Temmuz,0.6792
DEALER 14,Black2,8,Ağustos,0.9057
DEALER 14,Black2,9,Eylül,1.5849
DEALER 14,Black2,10,Ekim,0.9057
DEALER 14,Black2,11,Kasım,1.1321
DEALER 14,Black2,12,Aralık,3.6226
DEALER 14,White2,1,Ocak,0.0
DEALER 14,White2,2,Şubat,1.1613
DEALER 14,White2,3,Mart,1.9355
DEALER 14,White2,4,Nisan,0.3871
DEALER 14,White2,5,Mayıs,0.3871
DEALER 14,White2,6,Haziran,0.3871
DEALER 14,White2,7,Temmuz,0.7742
DEALER 14,White2,8,Ağustos,2.3226
DEALER 14,White2,9,Eylül,0.5806
DEALER 14,White2,10,Ekim,1.1613
DEALER 14,White2,11,Kasım,0.9677
DEALER 14,White2,12,Aralık,1.9355
DEALER 14,Grey2,1,Ocak,2.4706
DEALER 14,Grey2,2,Şubat,0.7059
DEALER 14,Grey2,3,Mart,0.8824
DEALER 14,Grey2,4,Nisan,0.3529
DEALER 14,Grey2,5,Mayıs,0.0
DEALER 14,Grey2,6,Haziran,4.5882
DEALER 14,Grey2,7,Temmuz,0.3529
DEALER 14,Grey2,8,Ağustos,1.0588
DEALER 14,Grey2,9,Eylül,0.7059
DEALER 14,Grey2,10,Ekim,0.3529
DEALER 14,Grey2,11,Kasım,0.0
DEALER 14,Grey2,12,Aralık,0.5294
DEALER 14,Black1,1,Ocak,1.44
DEALER 14,Black1,2,Şubat,0.96
DEALER 14,Black1,3,Mart,1.68
DEALER 14,Black1,4,Nisan,0.0
DEALER 14,Black1,5,Mayıs,1.44
DEALER 14,Black1,6,Haziran,1.68
DEALER 14,Black1,7,Temmuz,1.2
DEALER 14,Black1,8,Ağustos,0.72
DEALER 14,Black1,9,Eylül,0.96
DEALER 14,Black1,10,Ekim,0.48
DEALER 14,Black1,11,Kasım,0.0
DEALER 14,Black1,12,Aralık,1.44
DEALER 15,Grey3,1,Ocak,0.75
DEALER 15,Grey3,2,Şubat,0.9
DEALER 15,Grey3,3,Mart,1.8
DEALER 15,Grey3,4,Nisan,0.45
DEALER 15,Grey3,5,Mayıs,0.9
DEALER 15,Grey3,6,Haziran,0.45
DEALER 15,Grey3,7,Temmuz,0.9
DEALER 15,Grey3,8,Ağustos,0.6
DEALER 15,Grey3,9,Eylül,1.2
DEALER 15,Grey3,10,Ekim,1.5
DEALER 15,Grey3,11,Kasım,1.35
DEALER 15,Grey3,12,Aralık,1.2
DEALER 15,White2,1,Ocak,0.6957
DEALER 15,White2,2,Şubat,1.0435
DEALER 15,White2,3,Mart,1.0435
DEALER 15,White2,4,Nisan,0.3478
DEALER 15,White2,5,Mayıs,0.8696
DEALER 15,White2,6,Haziran,1.0435
DEALER 15,White2,7,Temmuz,0.3478
DEALER 15,White2,8,Ağustos,1.5652
DEALER 15,White2,9,Eylül,0.5217
DEALER 15,White2,10,Ekim,1.2174
DEALER 15,White2,11,Kasım,1.3913
DEALER 15,White2,12,Aralık,1.913
DEALER 15,Beige,1,Ocak,0.4528
DEALER 15,Beige,2,Şubat,0.0
DEALER 15,Beige,3,Mart,0.9057
DEALER 15,Beige,4,Nisan,1.3585
DEALER 15,Beige,5,Mayıs,0.9057
DEALER 15,Beige,6,Haziran,1.1321
DEALER 15,Beige,7,Temmuz,1.3585
DEALER 15,Beige,8,Ağustos,0.9057
DEALER 15,Beige,9,Eylül,0.9057
DEALER 15,Beige,10,Ekim,1.1321
DEALER 15,Beige,11,Kasım,1.5849
DEALER 15,Beige,12,Aralık,1.3585
DEALER 15,White1,1,Ocak,2.4828
DEALER 15,White1,2,Şubat,1.4483
DEALER 15,White1,3,Mart,1.4483
DEALER 15,White1,4,Nisan,0.8276
DEALER 15,White1,5,Mayıs,0.8276
DEALER 15,White1,6,Haziran,0.0
DEALER 15,White1,7,Temmuz,0.6207
DEALER 15,White1,8,Ağustos,2.069
DEALER 15,White1,9,Eylül,0.4138
DEALER 15,White1,10,Ekim,0.6207
DEALER 15,White1,11,Kasım,0.4138
DEALER 15,White1,12,Aralık,0.8276
DEALER 15,Grey2,1,Ocak,1.4
DEALER 15,Grey2,2,Şubat,1.8
DEALER 15,Grey2,3,Mart,0.6
DEALER 15,Grey2,4,Nisan,0.4
DEALER 15,Grey2,5,Mayıs,2.4
DEALER 15,Grey2,6,Haziran,0.6
DEALER 15,Grey2,7,Temmuz,1.6
DEALER 15,Grey2,8,Ağustos,1.2
DEALER 15,Grey2,9,Eylül,0.4
DEALER 15,Grey2,10,Ekim,0.4
DEALER 15,Grey2,11,Kasım,0.4
DEALER 15,Grey2,12,Aralık,0.8
DEALER 16,Black1,1,Ocak,2.5263
DEALER 16,Black1,2,Şubat,1.1053
DEALER 16,Black1,3,Mart,1.4211
DEALER 16,Black1,4,Nisan,0.7895
DEALER 16,Black1,5,Mayıs,1.1053
DEALER 16,Black1,6,Haziran,0.7895
DEALER 16,Black1,7,Temmuz,0.9474
DEALER 16,Black1,8,Ağustos,0.6316
DEALER 16,Black1,9,Eylül,0.6316
DEALER 16,Black1,10,Ekim,0.9474
DEALER 16,Black1,11,Kasım,0.6316
DEALER 16,Black1,12,Aralık,0.4737
DEALER 16,Grey2,1,Ocak,3.1579
DEALER 16,Grey2,2,Şubat,1.4211
